Product_ID,Month,Price,Production_Cost,Production_Quantity,Marketing_Expenses,Profit
1,December,14.440958890851372,40.26807798266029,945,6.163672563537763,-24412.791214322962
2,July,50.15324474138029,19.961053413650603,945,19.69470836691154,28511.926096337644
3,March,55.39771908658824,11.226313256982468,511,7.537355495429628,22564.05102343312
4,April,74.5251074403029,46.81973745278753,350,3.173089989155702,9693.706405641226
5,October,39.81137465718563,9.907935018120671,376,9.269436193494059,11234.423868094931
6,January,31.84835513426798,29.872906572160822,989,10.858591714394684,1942.860036209584
7,December,72.62770763176826,48.0693530403725,544,17.5846438575614,13342.160253861734
8,January,60.805180638183295,49.76470142488487,701,12.926698284230556,7726.449230237965
9,August,33.61486247815177,23.29596653433345,719,16.594462099990764,7402.691721505383
10,June,97.70912988354007,8.240449993013295,666,18.72585655377613,59567.41495053705
11,December,38.20344864361718,9.677519810591406,344,12.306386133660506,9800.613132427205
12,July,19.49463062436166,37.23917999221493,931,10.53755458598086,-16530.713016057376
13,February,76.71376494987341,10.276110887734307,642,11.081675526094717,42641.89223236721
14,June,20.303296627633717,19.409975266139003,224,19.741933503361867,180.36205147145395
15,October,99.82827358348196,24.614605003841664,754,6.550230053348778,56704.55587899544
16,January,28.05980730657664,7.905074285005873,631,13.794508272874141,12703.842028338278
17,October,54.292002694532265,27.02408661885828,556,13.2948260050436,15147.666512069693
18,May,45.24895574068348,44.21827825552093,392,6.5624248380912515,397.463149345628
19,November,47.241082911874095,5.279320852415001,309,18.278024372678914,12947.90645200018
20,May,15.552321921493345,35.34957615203402,580,16.73378964012086,-11499.141243353712
21,September,18.811550685055707,30.875273541002112,199,10.559653928444776,-2411.2405022617795
22,August,73.4521198887927,21.50953385708355,423,3.126099056132152,21968.587792356837
23,February,53.07978576541609,36.72320246508697,691,17.93006634423789,11284.468994183186
24,August,13.47332134950007,45.585557819694,396,14.57723800919547,-12731.022880205994
25,September,60.46895788288792,17.8097795779453,764,14.414962456881778,32577.19726251928
26,April,61.00132285730331,16.224460901117972,794,7.103224642128671,35545.72516856903
27,February,29.847923080660625,23.80246087307658,639,17.081435305490402,3845.9689153407144
28,February,33.5488951693132,9.903250092994046,746,9.339863070152436,17630.311363863933
29,October,94.17971772889203,26.276887747541902,778,4.104620222958186,52824.29710526744
30,May,86.14099831198084,11.316910093231137,275,8.18133469841927,20568.442925457744
31,November,41.07320529711065,48.61499714735042,681,13.452150146700967,-5149.412400159988
32,May,54.33694715765089,39.5410936271684,620,1.9257526109740652,9171.503436288169
33,June,44.08378395073909,49.492641928114956,731,0.9308313903662335,-3954.8060128521247
34,June,70.40723176286446,19.650713340383824,326,10.597604615176264,16536.027401113508
